OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
4082,53310,"4/15/2007, 2007",8,167,"Debris flow, Heavy rain/broken sewer pipe, Debris flow after heavy rain on Riverview Drive along the Passaic River, road closed for repairs.",074.21201699W,40.89682620N,53309,WL,,,,,,,
4092,53336,"8/28/2011, 2011",8,201,"Debris flow, Heavy rain, Debris flow along Macpeek Rd. in Vernon. Temporary road closure.",074.51772971W,41.19720816N,53335,WL,,,,,,,
4117,53387,"8/15/2011, 2011",8,187,"Debris flow, Heavy rain, Massive landslide in Great Gorge Village along Steamboat Drive near the Minerals resort and at ski slope due to heavy rain in area of underground pipeline work.",074.51926360W,41.18232710N,53386,WL,,,,,,,
4128,53415,"8/28/2011, 2011",8,192,"Debris flow, Heavy rain, Second massive landslide in Great Gorge Village near due to heavy rain from Tropical Storm Irene in area of underground pipeline work.",074.51926360W,41.18232710N,53414,WL,,,,,,,
4130,53421,"12/17/2005, 2005",8,141,"Rockslide, Weathering, Significant rockslide, road closed for repairs, location taken at the toe of the landslide in the parking lot where a large boulder bounced into the Hudson River.",073.91875835W,40.94533468N,53420,WL,,,,,,,
4157,53480,"4/15/2007, 2007",8,162,"Debris flow, Heavy rain, Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",073.92765791W,40.92169067N,53479,WL,,,,,,,
6,17341,5/8/2009,8, ,"landslide, translational, heavy rainfall",082.88362400W,37.45136700N,17340,,WL,,,,,,
12,17356,5/3/2010,8, ,"mudslide, translational, heavy rainfall",083.40694900W,38.19482400N,17355,,WL,,,,,,
13,17357,5/3/2010,8, ,"landslide, rotational, heavy rainfall",083.41957000W,38.15204900N,17356,,WL,,,,,,
22,17432,1/3/2011,8, ,"landslide, composite, heavy rainfall",084.68958000W,37.87038000N,17431,,WL,,,,,,
23,17440,1/1/2008,8, ,"landslide, translational, oversteeping of slope",082.59180000W,37.34600000N,17439,,WL,,,,,,
26,17479,4/28/2011,8, ,landslide,086.25857000W,37.42324000N,17478,,WL,,,,,,
27,17514,7/19/2011,8, ,"composite, heavy rainfall",083.68602800W,37.78339000N,17513,,WL,,,,,,
28,17516,4/15/2011,8, ,landslideheavy rainfall,084.40741900W,39.01749900N,17515,,WL,,,,,,
52,18035,1/31/2012,8, ,"landslide, slump,",087.30959000W,37.76311300N,18034,,WL,,,,,,
61,18048,4/24/2011,8, ,landslideheavy rainfall,082.64724600W,38.16846700N,18047,,WL,,,,,,
301,19414,12/4/2013,8, ,"rockfall, rockfall,",083.20470000W,38.33476100N,19413,,WL,,,,,,
302,19416,12/9/2013,8, ,"rockfall, rockslide,",083.46126100W,36.86049600N,19415,,WL,,,,,,
304,19436,1/14/2014,8, ,"rockfall, rockslide,",082.38038000W,37.34119700N,19435,,WL,,,,,,
305,19445,8/15/2013,8, ,"landslide, landslide, heavy rainfall",082.58585100W,37.48306600N,19444,,WL,,,,,,
306,19446,2/10/2014,8, ,"landslide, rockfall,",083.26368400W,37.17996800N,19445,,WL,,,,,,
307,19447,2014,8, ,"rockfall, rockfall,",084.11932200W,36.63646400N,19446,,WL,,,,,,
308,19448,2014,8, ,"landslide, mudslide,",082.71481500W,37.67313000N,19447,,WL,,,,,,
309,19449,2/5/2014,8, ,"rockfall, rockfall,",084.07457600W,36.99581500N,19448,,WL,,,,,,
310,19450,2/8/2014,8, ,"rockfall, rockfall,",082.60672300W,38.10892700N,19449,,WL,,,,,,
311,19451,2/21/2014,8, ,"rockfall, rockfall,",082.67527800W,38.49818600N,19450,,WL,,,,,,
312,19452,2/22/2014,8, ,"rockfall, rockfall,",084.73045100W,37.55115000N,19451,,WL,,,,,,
316,19456,2/22/2014,8, ,"mudslide, mudslide,",082.86888900W,37.56208600N,19455,,WL,,,,,,
329,19523,2014,8, ,landslide,088.53132300W,37.03625800N,19522,,WL,,,,,,
338,19543,2014,8,L-013-2014,landslide,084.56066000W,38.49335300N,19542,,WL,,,,,,
340,19545,2014,8,L-015-2014,landslide,084.59435200W,38.48657100N,19544,,WL,,,,,,
