OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
3427,52635,2008/03/20,8,5170,"process points, Early's Gap 2, Field verified by NCGS,",082.76988000W,35.67905100N,52634,,WL,,,,,,
3428,52636,2008/03/20,8,5186,"process points, 200803200004, Field verified by NCGS,",082.83325900W,35.63781000N,52635,,WL,,,,,,
3429,52637,2008/03/20,8,5191,"process points,  , Field verified by NCGS,",082.83944100W,35.67753900N,52636,,WL,,,,,,
3430,52638,2008/03/20,8,5192,"process points,  , Field verified by NCGS,",082.83895300W,35.67865300N,52637,,WL,,,,,,
3431,52639,2008/03/20,8,5193,"process points,  , Field verified by NCGS,",082.84099875W,35.68004458N,52638,,WL,,,,,,
3432,52640,2008/03/20,8,5194,"process points,  , Field verified by NCGS,",082.84065500W,35.68010400N,52639,,WL,,,,,,
3433,52641,2008/03/20,8,5195,"process points,  , Field verified by NCGS,",082.84148200W,35.68016500N,52640,,WL,,,,,,
3434,52642,2008/03/20,8,5196,"process points,  , Field verified by NCGS,",082.84222100W,35.67967100N,52641,,WL,,,,,,
3435,52643,2008/03/20,8,5197,"process points,  , Field verified by NCGS,",082.84222400W,35.67869900N,52642,,WL,,,,,,
3436,52644,2008/04/07,8,5219,"process points, 200804071047, Field verified by NCGS,",082.48835000W,35.51088000N,52643,,WL,,,,,,
3437,52645,2008/04/07,8,5220,"process points, 200804070043, Field verified by NCGS,",082.48798522W,35.50960235N,52644,,WL,,,,,,
3438,52646,2008/04/08,8,5242,"process points,  , Field verified by NCGS,",082.45062000W,35.53237200N,52645,,WL,,,,,,
3439,52647,2008/04/08,8,5243,"process points,  , Field verified by NCGS,",082.45021300W,35.53250200N,52646,,WL,,,,,,
3441,52649,2008/04/17,8,5246,"process points, 200804170022, Field verified by NCGS,",082.46703400W,35.53234900N,52648,,WL,,,,,,
3442,52650,2008/05/09,8,5247,"process points, Dave Steel slide, Field verified by NCGS,",082.55464600W,35.56682200N,52649,,,,,,,,
3443,52651,2008/05/01,8,5252,"process points,  , Field verified by NCGS,",082.41155400W,35.62293500N,52650,,WL,,,,,,
3444,52652,2009/09/01,8,6058,"process points, 200909010001, Field verified by NCGS,",082.51347081W,35.60210933N,52651,,WL,,,,,,
3447,52655,2009/12/10,8,201003126001,"process points, , Field verified by NCGS,",083.09772728W,35.52878568N,52654,,,,,,,,
3449,52657,2010/03/12,8,201003120004,"process points, , Field verified by NCGS,",083.39951882W,35.14347976N,52656,,WL,,,,,,
3450,52658,2010/03/12,8,201003120001,"process points, , Field verified by NCGS,",083.01693025W,35.03255080N,52657,,WL,,,,,,
3451,52659,2010/06/10,8,201006100003,"process points, , Field verified by NCGS,",082.61137433W,35.17215284N,52658,,WL,,,,,,
3452,52660,2010/10/07,8,201010071001,"process points, Dove Landing Echoing Ridge Road, Field verified by NCGS,",082.33335632W,35.55438619N,52659,,WL,,,,,,
3454,52662,2005/02/24,8,201102071001,"process points, Whiteside Mountain Overlook, Field verified by NCGS,",083.15166588W,35.09845687N,52661,,WL,,,,,,
3455,52663,2011/02/22,8,201102220001,"process points, Fred Sutton Slide, Field verified by NCGS,",083.29858269W,35.38412789N,52662,,WL,,,,,,
3456,52664,2011/02/22,8,201102220006,"process points, Green Gables Slide 1, Field verified by NCGS,",083.15558659W,35.40150930N,52663,,WL,,,,,,
3457,52665,2011/02/22,8,201102220007,"process points, Green Gables Slide 2, Field verified by NCGS,",083.15526079W,35.40100641N,52664,,WL,,,,,,
3458,52666,2011/02/22,8,201102220015,"process points, Ramp Cove I, Field verified by NCGS,",083.18946799W,35.24625214N,52665,,WL,,,,,,
3459,52667,2011/03/03,8,201103030008,"process points, , Field verified by NCGS,",083.20094379W,35.38393867N,52666,,WL,,,,,,
3460,52668,2011/03/03,8,201103030005,"process points, , Field verified by NCGS,",083.20031173W,35.38298089N,52667,,WL,,,,,,
3461,52669,2011/03/02,8,201103021015,"process points, Ramp Cove II, Field verified by NCGS,",083.19065904W,35.24566181N,52668,,WL,,,,,,
3462,52670,2011/03/08,8,201103085006,"process points, , Field verified by NCGS,",083.44087473W,35.36880329N,52669,,WL,,,,,,
3463,52671,2011/03/08,8,201103085008,"process points, Reinold Property, Field verified by NCGS,",083.44119811W,35.36768787N,52670,,WL,,,,,,
3464,52672,2011/03/08,8,201103085110,"process points, , Field verified by NCGS,",083.45452835W,35.35462843N,52671,,WL,,,,,,
3465,52673,2010/01/15,8,201001151003,"process points, , Field verified by NCGS,",082.31545045W,35.45824633N,52672,,WL,,,,,,
3466,52674,2010/01/15,8,201001151001,"process points, , Field verified by NCGS,",082.31970670W,35.46070195N,52673,,WL,,,,,,
3467,52675,2010/01/15,8,201001151002,"process points, , Field verified by NCGS,",082.31526677W,35.45784622N,52674,,WL,,,,,,
3468,52676,2010/01/20,8,201001200008,"process points, , Field verified by NCGS,",082.30646653W,35.46591845N,52675,,WL,,,,,,
3469,52677,2010/01/20,8,201001200007,"process points, , Field verified by NCGS,",082.30678191W,35.46422781N,52676,,WL,,,,,,
3470,52678,2010/01/27,8,201001271001,"process points, , Field verified by NCGS,",082.33584786W,35.47255349N,52677,,WL,,,,,,
3471,52679,2010/01/28,8,201001280003,"process points, , Field verified by NCGS,",082.30596465W,35.47578988N,52678,,WL,,,,,,
3472,52680,2010/01/28,8,201001280008,"process points, , Field verified by NCGS,",082.31767554W,35.47386970N,52679,,WL,,,,,,
3473,52681,2010/01/29,8,201001291005,"process points, , Field verified by NCGS,",082.34528125W,35.44302543N,52680,,WL,,,,,,
3474,52682,2010/02/23,8,201002230047,"process points, , Field verified by NCGS,",082.28582209W,35.40123326N,52681,,WL,,,,,,
3475,52683,2010/03/01,8,201003011001,"process points, , Field verified by NCGS,",082.29909851W,35.43818903N,52682,,WL,,,,,,
3476,52684,2010/03/01,8,201003011002,"process points, , Field verified by NCGS,",082.29964179W,35.43756572N,52683,,WL,,,,,,
3477,52685,2010/03/12,8,201003121003,"process points, , Field verified by NCGS,",082.28855172W,35.37679282N,52684,,WL,,,,,,
3478,52686,2010/03/12,8,201003121002,"process points, , Field verified by NCGS,",082.28607975W,35.37148480N,52685,,WL,,,,,,
3479,52687,2010/03/15,8,201003151006,"process points, , Field verified by NCGS,",082.36611816W,35.28647824N,52686,,WL,,,,,,
3480,52688,2010/03/15,8,201003151004,"process points, , Field verified by NCGS,",082.35259108W,35.29641841N,52687,,WL,,,,,,
3481,52689,2010/03/15,8,201003151005,"process points, , Field verified by NCGS,",082.35322219W,35.29601421N,52688,,WL,,,,,,
3482,52690,2010/03/12,8,201003121038,"process points, , Field verified by NCGS,",082.29078877W,35.37713812N,52689,,WL,,,,,,
3483,52691,2010/03/12,8,201003121039,"process points, , Field verified by NCGS,",082.29074285W,35.37673264N,52690,,WL,,,,,,
3484,52692,2010/03/19,8,201003191002,"process points, , Field verified by NCGS,",082.36101769W,35.20438857N,52691,,WL,,,,,,
3485,52693,2010/03/19,8,201003191003,"process points, , Field verified by NCGS,",082.36073155W,35.20428914N,52692,,WL,,,,,,
3486,52694,2010/03/26,8,201003260002,"process points, , Field verified by NCGS,",082.37537212W,35.44381653N,52693,,WL,,,,,,
3487,52695,2010/03/30,8,201003301018,"process points, , Field verified by NCGS,",082.48468246W,35.22397967N,52694,,WL,,,,,,
3488,52696,2010/03/25,8,201003256010,"process points, Huntley Debris Flow, Field verified by NCGS, Fatalities:  Belle Wilson Huntley (29),  Fred Hill (11), Bonnie Hill (8)",082.31329317W,35.48469984N,52695,,WL,,,,,,
3489,52697,2010/03/25,8,201004056001,"process points, , Field verified by NCGS,",082.31234954W,35.47773697N,52696,,WL,,,,,,
3490,52698,2010/04/06,8,201004061001,"process points, , Field verified by NCGS,",082.49802027W,35.19482420N,52697,,WL,,,,,,
3491,52699,2010/04/13,8,201004131004,"process points, , Field verified by NCGS,",082.51433537W,35.30430138N,52698,,WL,,,,,,
3492,52700,2010/04/14,8,201004140001,"process points, , Field verified by NCGS,",082.58481557W,35.28009530N,52699,,WL,,,,,,
3493,52701,2010/04/14,8,201004140002,"process points, , Field verified by NCGS,",082.58484953W,35.28019550N,52700,,WL,,,,,,
3494,52702,2010/04/15,8,201004150001,"process points, Burl Mountain, Field verified by NCGS,",082.55321761W,35.31652914N,52701,,WL,,,,,,
3495,52703,2010/04/19,8,201004191004,"process points, , Field verified by NCGS,",082.54006332W,35.32671231N,52702,,WL,,,,,,
3496,52704,2010/04/23,8,201004231001,"process points, , Field verified by NCGS,",082.61621821W,35.43213441N,52703,,WL,,,,,,
3497,52705,2010/04/26,8,201004261001,"process points, , Field verified by NCGS,",082.64339212W,35.36425636N,52704,,WL,,,,,,
3498,52706,2010/04/26,8,201004261004,"process points, , Field verified by NCGS,",082.64222467W,35.36387899N,52705,,WL,,,,,,
3499,52707,2010/04/27,8,201004270002,"process points, , Field verified by NCGS,",082.66661503W,35.40553641N,52706,,WL,,,,,,
3500,52708,2010/04/27,8,201004270006,"process points, Yellow Gap, Field verified by NCGS,",082.68056818W,35.38449730N,52707,,WL,,,,,,
3501,52709,2010/04/27,8,201004270005,"process points, , Field verified by NCGS,",082.67808972W,35.38764214N,52708,,WL,,,,,,
3502,52710,2010/04/28,8,201004201002,"process points, , Field verified by NCGS,",082.68182184W,35.38601802N,52709,,WL,,,,,,
3503,52711,2010/04/28,8,201004281001,"process points, , Field verified by NCGS,",082.68188434W,35.38581349N,52710,,WL,,,,,,
3504,52712,2010/04/28,8,201004281005,"process points, , Field verified by NCGS,",082.68104075W,35.38639367N,52711,,WL,,,,,,
3505,52713,2010/04/28,8,201004281004,"process points, , Field verified by NCGS,",082.68361915W,35.38577347N,52712,,WL,,,,,,
3506,52714,2010/04/26,8,201004261026,"process points, , Field verified by NCGS,",082.64396633W,35.36317153N,52713,,WL,,,,,,
3507,52715,2010/04/29,8,201004290005,"process points, , Field verified by NCGS,",082.68420461W,35.40247354N,52714,,WL,,,,,,
3508,52716,2010/04/29,8,201004290003,"process points, , Field verified by NCGS,",082.68489936W,35.40216218N,52715,,WL,,,,,,
3509,52717,2010/04/29,8,201004290002,"process points, , Field verified by NCGS,",082.68432770W,35.40132322N,52716,,WL,,,,,,
3510,52718,2010/05/04,8,201005040002,"process points, , Field verified by NCGS,",082.69944834W,35.42604932N,52717,,WL,,,,,,
3511,52719,2010/05/05,8,201005050001,"process points, , Field verified by NCGS,",082.71229310W,35.43105402N,52718,,WL,,,,,,
3512,52720,2010/05/10,8,201005100001,"process points, , Field verified by NCGS,",082.65308374W,35.42408435N,52719,,WL,,,,,,
3513,52721,2010/05/10,8,384,"process points, DM58, Field verified by NCGS,",082.65658357W,35.43625314N,52720,,WL,,,,,,
3514,52722,2010/05/10,8,376,"process points, DM50, Field verified by NCGS,",082.65698596W,35.42862765N,52721,,WL,,,,,,
3515,52723,2010/05/12,8,377,"process points, DM51, Field verified by NCGS,",082.64280373W,35.42577233N,52722,,WL,,,,,,
3516,52724,2010/05/12,8,373,"process points, DM47, Field verified by NCGS,",082.64604228W,35.43859696N,52723,,WL,,,,,,
3517,52725,2010/05/12,8,378,"process points, DM52, Field verified by NCGS,",082.64195743W,35.42626950N,52724,,WL,,,,,,
3518,52726,2010/05/12,8,372,"process points, DM46, Field verified by NCGS,",082.64674763W,35.43787894N,52725,,WL,,,,,,
3519,52727,2010/05/12,8,374,"process points, DM48, Field verified by NCGS,",082.64541090W,35.43940792N,52726,,WL,,,,,,
3520,52728,2010/05/13,8,201005130001,"process points, , Field verified by NCGS,",082.65230352W,35.45128468N,52727,,WL,,,,,,
3521,52729,2010/05/18,8,394,"process points, SK1, Field verified by NCGS,",082.61488141W,35.42624957N,52728,,WL,,,,,,
3522,52730,2010/05/18,8,201005180001,"process points, , Field verified by NCGS,",082.61554347W,35.42460887N,52729,,WL,,,,,,
3523,52731,2010/05/18,8,395,"process points, SK2, Field verified by NCGS,",082.61591822W,35.42428725N,52730,,WL,,,,,,
3524,52732,2010/05/20,8,201005200012,"process points, , Field verified by NCGS,",082.28892554W,35.47418551N,52731,,WL,,,,,,
3525,52733,2010/05/20,8,201005200013,"process points, , Field verified by NCGS,",082.28312756W,35.47236515N,52732,,WL,,,,,,
3526,52734,2010/06/01,8,201006010001,"process points, , Field verified by NCGS,",082.61783652W,35.41528451N,52733,,WL,,,,,,
3527,52735,2010/06/08,8,201006080003,"process points, , Field verified by NCGS,",082.63702560W,35.38912959N,52734,,WL,,,,,,
3528,52736,2010/06/08,8,201006080004,"process points, , Field verified by NCGS,",082.63647303W,35.38802524N,52735,,WL,,,,,,
3529,52737,2009/11/12,8,200911120003,"process points, , Field verified by NCGS,",082.53646005W,35.23881968N,52736,,WL,,,,,,
3531,52739,2010/05/19,8,366,"process points, DM40, Field verified by NCGS,",082.65717692W,35.44640135N,52738,,WL,,,,,,
3532,52740,2010/05/19,8,371,"process points, DM45, Field verified by NCGS,",082.65892749W,35.44943200N,52739,,WL,,,,,,
3535,52743,2004/05/19,8,70,"process points, DMR-010, Field verified by NCGS,",082.70620000W,35.45190000N,52742,,WL,,,,,,
3536,52744,2004/04/16,8,56,"process points, DMR-001, Field verified by NCGS,",082.68631000W,35.45267000N,52743,,WL,,,,,,
3537,52745,2004/04/16,8,57,"process points, DMR-004, Field verified by NCGS,",082.67363000W,35.45675000N,52744,,WL,,,,,,
3538,52746,2004/04/19,8,58,"process points, DMR-008, Field verified by NCGS,",082.66447333W,35.45302421N,52745,,WL,,,,,,
3539,52747,2004/09/09,8,406,"process points, Old CCC Road, Field verified by NCGS,",082.58605318W,35.22291872N,52746,,WL,,,,,,
3540,52748,2004/09/09,8,407,"process points, Bear Rock Estates DF, Field verified by NCGS,",082.52452302W,35.23454603N,52747,,WL,,,,,,
3541,52749,2005/06/14,8,459,"process points, Bear Rock 2, Field verified by NCGS,",082.52321000W,35.23568000N,52748,,WL,,,,,,
3542,52750,2004/04/16,8,28,"process points, DMR-007, Field verified by NCGS,",082.66532260W,35.45409582N,52749,,WL,,,,,,
3546,52754,2004/04/19,8,2295,"process points, DMR-009, Field verified by NCGS,",082.64970000W,35.45020000N,52753,,WL,,,,,,
3547,52755,2009/06/10,8,6055,"process points, <Null>, Field verified by NCGS,",082.29155766W,35.44867368N,52754,,WL,,,,,,
3549,52757,2010/02/16,8,201002160045,"process points, , Field verified by NCGS,",082.29167050W,35.44899989N,52756,,WL,,,,,,
3550,52758,2010/10/20,8,201010210002,"process points, , Field verified by NCGS,",082.32180968W,35.32535103N,52757,,WL,,,,,,
3551,52759,2010/10/21,8,201010210019,"process points, , Field verified by NCGS,",082.33256167W,35.32317946N,52758,,WL,,,,,,
3552,52760,2010/12/01,8,201012010001,"process points, Holiday Drive, Field verified by NCGS,",082.49383243W,35.24453275N,52759,,WL,,,,,,
3554,52762,2010/01/20,8,201101270002,"process points, Bat Cave 1, Field verified by NCGS,",082.31030939W,35.46401507N,52761,,WL,,,,,,
3555,52763,2011/03/09,8,201103095001,"process points, Sneed EBCI , Field verified by NCGS,",083.30429870W,35.47348649N,52762,,WL,,,,,,
3556,52764,2010/01/14,8,201001140009,"process points, , Field verified by NCGS,",083.14726872W,35.41183433N,52763,,WL,,,,,,
3557,52765,2010/01/14,8,201001140011,"process points, , Field verified by NCGS,",083.14863069W,35.40975791N,52764,,WL,,,,,,
3558,52766,2010/01/14,8,201001140010,"process points, , Field verified by NCGS,",083.14717678W,35.41110000N,52765,,WL,,,,,,
3559,52767,2010/01/14,8,201001140008,"process points, , Field verified by NCGS,",083.14519904W,35.41551408N,52766,,WL,,,,,,
3560,52768,2010/01/21,8,201001211001,"process points, , Field verified by NCGS,",082.74148274W,35.90694161N,52767,,WL,,,,,,
3563,52771,2009/11/18,8,200911180005,"process points, Sagee Mountain, Field verified by NCGS,",083.17144334W,35.05434151N,52770,,WL,,,,,,
3564,52772,2010/01/27,8,201001271036,"process points, Cosmus Rock Fall, Field verified by NCGS,",082.17178923W,35.42115283N,52771,,WL,,,,,,
3565,52773,2010/02/10,8,201002101005,"process points, Waterdance EF-DF, Field verified by NCGS,",083.13859738W,35.23115531N,52772,,WL,,,,,,
3566,52774,2010/02/10,8,201002101001,"process points, Logan Slide, Field verified by NCGS,",083.16319986W,35.42187969N,52773,,WL,,,,,,
3567,52775,2010/02/08,8,201002080001,"process points, Taylor - Silvermine Road, Field verified by NCGS,",083.61777560W,35.31383079N,52774,,WL,,,,,,
3568,52776,2010/02/12,8,201002120001,"process points, Blossomtown 1, Field verified by NCGS,",083.39958890W,35.14502478N,52775,,WL,,,,,,
3569,52777,2010/02/16,8,201002160002,"process points, Basswood Drive DS, Field verified by NCGS,",082.18814656W,35.42304701N,52776,,WL,,,,,,
3570,52778,2010/02/12,8,201002120004,"process points, , Field verified by NCGS,",083.29881676W,35.20985678N,52777,,WL,,,,,,
3571,52779,2010/02/12,8,201002120005,"process points, , Field verified by NCGS,",083.46763480W,35.17044375N,52778,,WL,,,,,,
3572,52780,2010/02/12,8,201002156001,"process points, , Field verified by NCGS,",083.34189087W,35.39847716N,52779,,WL,,,,,,
3573,52781,2010/02/12,8,201002156002,"process points, Barnes Slide, Field verified by NCGS,",083.34288139W,35.39948806N,52780,,WL,,,,,,
3576,52784,2010/03/04,8,201003040001,"process points, , Field verified by NCGS,",083.02267108W,35.53474274N,52783,,WL,,,,,,
3577,52785,2011/03/17,8,201103175001,"process points, Tilley Creek , Field verified by NCGS,",083.19054195W,35.26905545N,52784,,WL,,,,,,
3578,52786,2011/03/23,8,201103233006,"process points, Bear Lake 281, Field verified by NCGS,",083.05953545W,35.25019333N,52785,,WL,,,,,,
3579,52787,2011/03/23,8,201103233003,"process points, Kerry Hill Road Flow, Field verified by NCGS,",083.10847424W,35.13454106N,52786,,WL,,,,,,
3580,52788,2011/03/23,8,201103233004,"process points, Kerry Hill Road Slide, Field verified by NCGS,",083.10817898W,35.13438897N,52787,,WL,,,,,,
3581,52789,2011/03/23,8,201103233001,"process points, Kiesse Creek Debris Flow2, Field verified by NCGS,",083.10623466W,35.23457017N,52788,,WL,,,,,,
3582,52790,2011/03/25,8,201103253003,"process points, McCall Landslide, Field verified by NCGS, Source:  Jackson Co. Journal 1940/09/05. Possible location of McCall fatalities;  Albert McCall and two chidren Gurney McCall (findagrave) and another. Injured:  Ms. Ethel McCall, broken arm",083.06367156W,35.25230380N,52789,,WL,,,,,,
3583,52791,2011/03/28,8,201103285003,"process points, Mountain Heritage Debris Flow, Field verified by NCGS,",083.24254776W,35.39776294N,52790,,WL,,,,,,
3584,52792,2011/03/28,8,201103285006,"process points, Mountain Heritage Debris Slide, Field verified by NCGS,",083.24284906W,35.39727972N,52791,,WL,,,,,,
3585,52793,2011/03/28,8,201103285007,"process points, Ridgeway Drive, Field verified by NCGS,",083.22518813W,35.36614458N,52792,,WL,,,,,,
3586,52794,2011/03/28,8,201103285008,"process points, Dark Ridge Road, Field verified by NCGS,",083.11452363W,35.40401470N,52793,,WL,,,,,,
3587,52795,2011/03/31,8,201103311001,"process points, , Field verified by NCGS,",083.12302972W,35.25896299N,52794,,WL,,,,,,
3588,52796,2011/03/31,8,201103311002,"process points, , Field verified by NCGS,",083.12276392W,35.25548702N,52795,,WL,,,,,,
3589,52797,2011/03/31,8,201103311005,"process points, , Field verified by NCGS,",083.11976393W,35.25299023N,52796,,WL,,,,,,
3590,52798,2011/03/31,8,201103311004,"process points, , Field verified by NCGS,",083.12314442W,35.25387408N,52797,,WL,,,,,,
3591,52799,2011/03/28,8,201103285012,"process points, , Field verified by NCGS,",083.10718611W,35.41181847N,52798,,WL,,,,,,
3592,52800,2011/04/01,8,201104011003,"process points, , Field verified by NCGS,",083.13535390W,35.28417426N,52799,,WL,,,,,,
3593,52801,2011/04/01,8,201104011001,"process points, , Field verified by NCGS,",083.04664146W,35.26069626N,52800,,WL,,,,,,
3594,52802,2011/04/01,8,201104011002,"process points, , Field verified by NCGS,",083.04767199W,35.26017018N,52801,,WL,,,,,,
3595,52803,2011/04/01,8,201104013006,"process points, Glenville DF , Field verified by NCGS,",083.16311062W,35.21442726N,52802,,WL,,,,,,
3596,52804,2011/04/01,8,201104013003,"process points, , Field verified by NCGS,",083.16317440W,35.21390314N,52803,,WL,,,,,,
3597,52805,2011/04/01,8,201104013004,"process points, , Field verified by NCGS,",083.16321232W,35.21374872N,52804,,WL,,,,,,
3598,52806,2011/04/01,8,201104013001,"process points, Hampton Little Savannah Apartments, Field verified by NCGS,",083.19628829W,35.30480023N,52805,,WL,,,,,,
3599,52807,2011/04/01,8,201104013002,"process points, , Field verified by NCGS,",083.16331429W,35.21417205N,52806,,WL,,,,,,
3600,52808,2011/03/31,8,201103311006,"process points, , Field verified by NCGS,",083.12280012W,35.25624963N,52807,,WL,,,,,,
3602,52810,2011/04/07,8,201104075002,"process points, Lee, Field verified by NCGS,",082.81647821W,35.69327827N,52809,,WL,,,,,,
3603,52811,2011/04/08,8,201104081004,"process points, , Field verified by NCGS,",083.14563171W,35.20151100N,52810,,WL,,,,,,
3605,52813,2011/04/08,8,201104081007,"process points, , Field verified by NCGS,",083.14101588W,35.20264341N,52812,,WL,,,,,,
3606,52814,2011/04/08,8,201104086010,"process points, , Field verified by NCGS,",083.12358823W,35.24787547N,52813,,WL,,,,,,
3607,52815,2011/04/08,8,201104086003,"process points, , Field verified by NCGS,",083.13322256W,35.24162077N,52814,,WL,,,,,,
3609,52817,2011/04/08,8,201104086001,"process points, , Field verified by NCGS,",083.13255764W,35.24191535N,52816,,WL,,,,,,
3610,52818,2011/04/08,8,201104086005,"process points, , Field verified by NCGS,",083.13646527W,35.23887513N,52817,,WL,,,,,,
3611,52819,2011/04/12,8,201104121001,"process points, , Field verified by NCGS,",083.08913637W,35.26730548N,52818,,WL,,,,,,
3612,52820,2011/04/12,8,201104121002,"process points, , Field verified by NCGS,",083.09272594W,35.26319521N,52819,,WL,,,,,,
3613,52821,2011/04/13,8,201104130003,"process points, , Field verified by NCGS,",083.12821102W,35.23666021N,52820,,WL,,,,,,
3614,52822,2011/04/13,8,201104130002,"process points, , Field verified by NCGS,",083.12737086W,35.23648039N,52821,,WL,,,,,,
3616,52824,2011/04/19,8,201104191002,"process points, , Field verified by NCGS,",083.09431274W,35.26910142N,52823,,WL,,,,,,
3617,52825,2011/04/19,8,201104191001,"process points, , Field verified by NCGS,",083.14216569W,35.20459798N,52824,,WL,,,,,,
3618,52826,2011/04/19,8,201104196020,"process points, , Field verified by NCGS,",083.32217654W,35.36666422N,52825,,WL,,,,,,
3619,52827,2011/04/21,8,201104216001,"process points, , Field verified by NCGS,",083.43389278W,35.05648851N,52826,,WL,,,,,,
3620,52828,2011/04/21,8,201104211006,"process points, , Field verified by NCGS,",083.10370570W,35.27493996N,52827,,WL,,,,,,
3621,52829,2011/04/21,8,201104211003,"process points, , Field verified by NCGS,",083.10478249W,35.27430939N,52828,,WL,,,,,,
3622,52830,2011/04/28,8,201104283022,"process points, , Field verified by NCGS,",083.03945284W,35.33475268N,52829,,WL,,,,,,
3623,52831,2011/04/28,8,201104283002,"process points, , Field verified by NCGS,",083.03990558W,35.33462537N,52830,,WL,,,,,,
3624,52832,2011/04/28,8,201104283001,"process points, , Field verified by NCGS,",083.03948029W,35.33411750N,52831,,WL,,,,,,
3625,52833,2011/04/28,8,201104283003,"process points, Mathis debris flow, Field verified by NCGS,",083.04334622W,35.33720358N,52832,,WL,,,,,,
3627,52835,2011/05/04,8,201105041001,"process points, , Field verified by NCGS,",083.09771881W,35.26849773N,52834,,WL,,,,,,
3628,52836,2011/05/04,8,201105046009,"process points, , Field verified by NCGS,",083.06682448W,35.32624139N,52835,,WL,,,,,,
3629,52837,2011/05/04,8,201105046008,"process points, , Field verified by NCGS,",083.06334305W,35.32162874N,52836,,WL,,,,,,
3630,52838,2011/05/05,8,201105055001,"process points, , Field verified by NCGS,",083.12429006W,35.25287071N,52837,,WL,,,,,,
3631,52839,2011/05/24,8,201105243001,"process points, , Field verified by NCGS,",083.14633943W,35.45565098N,52838,,WL,,,,,,
3632,52840,2011/05/25,8,201105253001,"process points, , Field verified by NCGS,",083.06260379W,35.27357486N,52839,,WL,,,,,,
3661,52869,2011/07/26,8,201107267002,"process points, Coppermine Development, Field verified by NCGS,",083.36931256W,35.39887330N,52868,,WL,,,,,,
3662,52870,20110901,8,201109017001,"process points, , Field verified by NCGS,",082.71364742W,35.38320348N,52869,,WL,,,,,,
3663,52871,2011/09/27,8,201109277003,"process points, Gunter Fork 2, Field verified by NCGS,",083.19766313W,35.68368733N,52870,,WL,,,,,,
3664,52872,2011/09/27,8,201109277004,"process points, Gunter Fork 3, Field verified by NCGS,",083.19792808W,35.68124585N,52871,,WL,,,,,,
3667,52875,20121119,8,201211190002,"process points, Chimney Rock SP Debris Slide, Field verified by NCGS,",082.25545729W,35.43380743N,52874,,WL,,,,,,
3668,52876,20091009,8,200910090001,"process points, , Field verified by NCGS,",082.25389146W,35.43288515N,52875,,WL,,,,,,
3669,52877,2012/11/19,8,201211190001,"process points, Chimney Rock SP Rockfall, Field verified by NCGS,",082.25563079W,35.43356468N,52876,,WL,,,,,,
3671,52879,2013/02/24,8,201302240001,"process points, 343 Skyline Drive, Field verified by NCGS,",083.02934804W,35.49782607N,52878,,WL,,,,,,
3672,52880,2013/01/23,8,201301230001,"process points, Hopkins, Field verified by NCGS,",081.79584889W,36.27445407N,52879,,WL,,,,,,
3676,52884,2012/11/28,8,201211280001,"process points, Cornerstone BSM, Field verified by NCGS,",082.88542431W,35.45878211N,52883,,WL,,,,,,
3678,52886,2013_01_29,8,201302010001,"process points, Hinton, Field verified by NCGS,",082.68168186W,35.84998232N,52885,,WL,,,,,,
3680,52888,2013/04/05,8,201304050001,"process points, Villages of Plott Creek Hertwig, Field verified by NCGS,",083.07528645W,35.48644921N,52887,,WL,,,,,,
3681,52889,2013/04/05,8,201304050002,"process points, , Field verified by NCGS,",083.07225191W,35.48829207N,52888,,WL,,,,,,
3682,52890,2013/04/05,8,20130405003,"process points, , Field verified by NCGS,",083.06408274W,35.49036158N,52889,,WL,,,,,,
3683,52891,2013/05/14,8, ,"process points, Spring Valley EF-DS, Field verified by NCGS,",082.89763747W,35.49395773N,52890,,WL,,,,,,
3684,52892,2013/05/14,8,201305140002,"process points, Spring Valley CS-DS, Field verified by NCGS,",082.90396415W,35.49632376N,52891,,WL,,,,,,
3685,52893,20130514,8,201305140001,"process points, Spring Valley debris slide, Field verified by NCGS,",082.89813159W,35.49737222N,52892,,WL,,,,,,
3686,52894,2013/06/10,8,201306100001,"process points, Kelley Esmeralda Inn, Field verified by NCGS,",082.26290087W,35.44489179N,52893,,WL,,,,,,
3687,52895,2013/06/10,8,201306100005,"process points, , Field verified by NCGS,",082.26108074W,35.44420911N,52894,,WL,,,,,,
3689,52897,2013/05/10,8,201305100001,"process points, 920 Evergreen Farm Circle, Field verified by NCGS,",082.91564718W,35.50135919N,52896,,WL,,,,,,
3691,52899,2013/06/10,8,201306100004,"process points, , Field verified by NCGS,",082.26183015W,35.44449485N,52898,,WL,,,,,,
3692,52900,2013/06/10,8,201306100002,"process points, , Field verified by NCGS,",082.26250649W,35.44496075N,52899,,WL,,,,,,
3694,52902,2013/07/10,8,201307100001,"process points, Herron Branch - Cherry Cove debris flow, Field verified by NCGS,",083.22427460W,35.42291599N,52901,,WL,,,,,,
3696,52904,2014/01/17,8,201401170001,"process points, Macon Avenue - 424 Sunset Slide, Field verified by NCGS,",082.54020621W,35.61800576N,52903,,WL,,,,,,
3697,52905,2013/07/24,8,201307240001,"process points, Black Oak, Field verified by NCGS,",082.53080497W,35.65078284N,52904,,,,,,,,
